SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,predefinedlabel,user-definedlabeln
0,0,62,67,-52,247728.3,229168.0,47142.8,40189.8,143179.0,87252.0,27045.9,24410.4,0,0
0,0,70,32,52,885754.7,387665.2,25647.4,28653.1,68160.3,114771.6,27887.3,19620.2,0,0
0,0,42,45,53,124066.1,212377.1,29449.6,15675.0,107554.3,54764.1,20418.6,25745.5,0,0
0,0,59,47,4,898125.0,398492.1,51147.4,43813.1,104979.6,102996.0,34407.5,22110.9,0,0
0,0,36,55,-73,777266.9,185279.7,38916.6,25335.0,86013.6,55617.9,38531.5,25877.4,0,0
0,0,55,56,-82,552993.4,119471.5,20032.7,24437.3,141924.5,87599.0,28621.8,12096.1,0,0
0,0,38,45,80,180837.0,70962.7,38672.6,15681.7,96904.6,123827.8,32895.8,7797.3,0,0
0,0,38,56,64,407001.4,188198.7,53557.7,35134.1,77161.6,108551.5,39651.8,3012.7,0,0
0,0,31,43,-53,415419.7,349031.9,71860.0,58868.6,113346.7,129832.3,27464.2,5709.0,0,0
0,0,51,48,-2,158718.8,81541.0,79358.1,24596.0,83245.0,111815.2,25395.7,9561.3,0,0
0,0,60,66,-66,793220.5,113989.7,420256.8,205755.6,38128.3,38978.4,10394.7,27527.4,1,1
0,0,65,42,75,860108.7,358766.4,463560.4,187424.8,27592.0,33485.6,26123.7,14379.3,1,1
0,0,55,46,7,758974.3,258763.2,320767.9,155804.5,58507.3,20960.2,15270.2,7736.7,1,1
0,0,69,69,-82,324175.5,371076.1,444070.7,160316.4,29135.9,28984.2,12139.3,3447.5,1,1
0,0,53,63,46,878452.1,82267.2,36151.6,35056.7,65441.0,64100.3,9844.3,15159.3,0,0
0,0,67,32,-96,479834.3,175115.2,39857.9,47980.7,106974.5,125748.3,15913.2,3905.6,0,0
0,0,38,34,-81,462472.6,178721.6,55902.4,18367.5,66054.4,74885.0,6556.3,28278.7,0,0
0,0,35,60,-81,796881.0,196003.6,64229.0,20829.5,146704.1,77329.1,32668.6,26313.8,0,0
0,0,68,34,-80,172518.7,90453.1,54368.4,43123.2,94410.0,96614.3,14002.1,14238.6,0,0
0,0,59,64,-79,514957.7,230086.0,39809.0,57041.3,122474.1,86620.5,15858.2,5368.8,0,0
0,0,61,46,-98,394361.1,100127.1,21337.4,58082.8,70159.6,112395.7,26411.5,16996.7,0,0
0,0,45,50,3,632719.3,119477.0,65226.3,30413.6,143727.1,89864.9,20081.3,24761.7,0,0
0,0,50,43,-66,207642.2,172760.8,74853.3,54612.1,94597.7,96648.6,36347.9,4095.5,0,0
0,0,60,47,-46,764716.9,183891.8,23848.3,59116.2,133967.2,59026.4,23199.1,21148.0,0,0
0,0,32,47,55,133190.7,298020.8,62976.6,52885.6,116229.9,75627.7,24970.4,11343.8,0,0
0,0,31,47,-40,723403.4,328896.6,67490.8,15860.1,72229.3,86386.6,39440.4,6113.2,0,0
0,0,34,42,-49,759070.2,139614.8,321804.0,230308.7,45596.6,24217.1,29997.8,23386.4,1,1
0,0,64,63,28,591558.1,314672.4,406969.7,155426.3,29058.3,34464.6,18773.1,24382.2,1,1
0,0,38,58,16,257501.4,360564.0,481247.4,163081.4,57304.2,33059.4,5235.4,17850.4,1,1
0,0,50,43,-75,677548.5,336420.9,430534.8,225397.6,52778.0,23577.4,27456.6,22376.9,1,1
0,0,64,50,-33,827991.8,349524.2,32797.8,55499.3,148244.4,128188.7,17197.7,5234.9,0,0
0,0,31,43,-84,443147.4,62286.5,46454.1,39763.6,129141.0,88995.8,23659.3,21537.8,0,0
0,0,63,58,26,563160.9,291172.1,74960.4,36175.3,149984.2,122045.4,31524.4,14864.4,0,0
0,0,62,65,-35,349358.1,183425.9,53526.5,52402.2,110537.8,63148.0,34584.1,27314.2,0,0
0,0,66,61,-49,428866.8,89998.2,32494.4,53284.7,147159.6,91938.1,5172.8,13179.8,0,0
0,0,66,37,25,174577.6,108369.9,52299.3,16977.9,142561.8,93519.7,37578.9,15391.2,0,0
0,0,61,38,-14,446942.1,335501.0,75247.0,51017.7,96374.3,69702.2,36519.4,15866.4,0,0
0,0,38,31,-91,255285.3,129540.8,39032.9,23615.3,115610.5,124021.7,29046.2,11696.2,0,0
0,0,37,62,59,300442.9,119205.1,41320.8,42889.5,69439.7,108471.5,23562.3,14793.0,0,0
0,0,43,70,36,610773.7,235366.7,42544.2,33603.1,107641.3,62778.3,34794.0,19516.2,0,0
